Name,Loss Rate,Quantity Sold,Prize in 3 years,Laris/Tidak Laris
Xiaozhoupi (Bag),9.43,5175.0,10255.9,laris
Wuhu Green Pepper (Bag),9.43,0.0,0.0,tidak laris
Green Hang Pepper (Bag),9.43,457.0,784.21,tidak laris
Red Hang Pepper (Bag),9.43,707.0,1884.94,tidak laris
Fruit Pepper (Bag),9.43,283.0,1269.64,tidak laris
Green Line Pepper (Bag),9.43,2307.0,5032.82,laris
Red Hot Peppers (Bag),9.43,953.0,3233.3,tidak laris
Luosi Pepper (Bag),9.43,8235.0,25293.84,laris
7 Colour Pepper (2),9.43,370.03,4750.01,tidak laris
Bell Pepper (2),9.43,76.6,652.11,tidak laris
Red Bell Pepper (2),9.43,214.81,2229.33,tidak laris
Ginger And Xiaomijiao Mix (Small Bag),9.43,1868.0,3048.86,laris
Red Pepper (Bag),9.43,93.0,152.31,tidak laris
Green And Red Hang Pepper Mix (Bag),9.43,1257.0,2885.31,tidak laris
Red Pepper (2),9.43,769.21,8097.98,tidak laris
Green And Red Jian Pepper Mix (Bag),9.43,45.0,145.14,tidak laris
Green Line Pepper,7.8,2219.78,19550.08,laris
Xixia Black Mushroom (1),10.8,2810.72,38567.51,laris
Xixia Mushroom (1),13.82,11920.23,144417.47,laris
Needle Mushroom (1),3.43,4697.47,21945.99,laris
Ping Mushroom,11.6,2542.96,14349.91,laris
Jigu Mushroom (1),8.99,375.22,3347.82,laris
The White Mushroom (1),9.43,22.0,22.0,tidak laris
The Agaricus Bisporus,12.78,627.72,8931.41,tidak laris
The Crab Flavor Mushroom (1),9.24,102.0,215.99,laris
Haixian Mushroom (1),9.89,502.17,4580.42,tidak laris
Apricot Bao Mushroom (1),5.05,2404.98,14612.73,laris
Jigu Mushroom (Bunch),12.42,1071.0,4144.15,tidak laris
Needle Mushroom (Bag) (1),8.85,2149.0,3743.41,laris
Tremella (Flower),9.14,287.0,847.6,laris
Hericium ,16.19,3.0,12.71,tidak laris
Fresh Black Fungus (1),7.63,212.17,1558.3,laris
Chicken Fir Bacteria,11.93,1.22,97.2,tidak laris
Black Porcini,10.17,1.08,69.82,tidak laris
Haixian Mushroom (Bag) (1),5.96,1266.0,2799.33,laris
Xiuzhen Mushroom,11.93,14.71,128.87,tidak laris
Chinese Caterpillar Fungus Flowers (Box) (1),11.93,0.0,0.0,tidak laris
Tea Tree Mushroom (Bag),9.97,90.0,500.44,tidak laris
Black Chicken  Mushroom,11.03,5.8,363.85,tidak laris
Apricot Bao Mushroom (Bag),10.03,1343.0,4017.95,tidak laris
The White Mushroom (Bag),6.57,2927.0,12229.31,laris
Chinese Caterpillar Fungus Flowers (Bag),11.13,978.0,3783.96,tidak laris
Chopped Red Pine,8.75,2.39,56.04,laris
The Steak Mushrooms,8.11,6.6,102.94,laris
White Jelly Mushroom,11.13,1.0,3.0,tidak laris
Apricot Bao Mushroom (250 G),9.43,10.0,31.24,tidak laris
Chopped Red Pine (Box),0.0,5.0,62.0,laris
The Steak Mushrooms (Box),19.8,34.0,195.96,tidak laris
The Pork Stomach Mushroom (Box),0.0,7.0,72.93,laris
Black Porcini (Box),0.0,4.0,58.04,laris
Black Chicken Fir Bacteria (Box),0.0,4.0,61.93,laris
Haixian Mushroom (Bag),9.43,1301.0,3694.92,tidak laris
Fresh Edible Fungus (Bag),9.43,741.0,1119.65,tidak laris
Apricot Bao Mushroom (Bag),10.03,102.0,154.67,tidak laris
Agaricus Bisporus (Bag),9.43,10.0,24.31,tidak laris
Needle Mushroom (Bag),9.43,1.0,0.1,tidak laris
Chinese Caterpillar Fungus Flowers (Bag),11.13,1109.0,3278.7,tidak laris
Jigu (Bag),9.43,682.0,1370.82,tidak laris
Xixia Xianggu Mushroom (2),9.43,413.84,5483.1,tidak laris
Fresh Edible Fungus (2),9.43,28.54,206.64,tidak laris
Fresh Sea (2),9.43,51.9,428.94,tidak laris
Jigu (2),9.43,16.95,154.62,tidak laris
Needle Mushroom (2),9.43,473.32,3735.64,tidak laris
Apricot Bao Mushroom (2),9.43,1304.55,9869.79,tidak laris
Xixia Black Mushroom (2),9.43,9.24,66.81,tidak laris
Agaricus Bisporus (Box),0.2,4229.0,14714.63,laris
Black Mushroom (Bag),9.43,3.0,7.45,tidak laris
The Fungus Mushroom Hot Pot Package (Bag),9.43,8.0,53.6,tidak laris
Crab Flavor Mushroom And White Mushroom Mix (Box),0.84,371.0,1822.61,laris
Xixia Xianggu Mushroom (Bag),9.43,379.0,936.44,tidak laris
Mushroom And Leaf Mix (Bag),9.43,13.0,37.05,tidak laris
Velvet Antler Mushroom (Box),0.0,3.0,10.19,laris
Chinese Caterpillar Fungus Flowers,11.68,39.98,595.9,tidak laris
The Crab Flavor Mushroom (Bag),11.13,399.0,1098.4,tidak laris
Haixian Mushroom (Bag) (2),0.0,708.0,2102.76,laris
Embroidered Aureus,11.13,7.0,46.1,tidak laris
Embroidered Aureus (Bag),8.34,2.0,16.26,laris
Needle Mushroom (Bag) (3),11.13,2549.0,4789.04,laris
Needle Mushroom (Bag) (2),6.64,3175.0,6144.94,laris
Needle Mushroom (Box),0.45,15596.0,36695.51,laris
The White Mushroom (2),7.3,251.0,588.02,laris
The Crab Flavor Mushroom (2),16.04,95.0,195.94,tidak laris
The White Mushroom (Box),0.0,168.0,286.48,laris
The Crab Flavor Mushroom (Box),0.0,81.0,135.93,laris
Haixian Mushroom (Bag) (4),11.13,2149.0,4857.95,laris
Haixian Mushroom (Bunch),0.0,1303.0,3038.6,laris
Haixian Mushroom (Bag) (3),1.3,1775.0,3530.0,laris
Chinese Caterpillar Fungus Flowers (Box) (2),11.13,1.0,3.5,tidak laris
Hfyg Haixian Mushroom (Bunch),0.12,109.0,189.57,laris
